title,price_inr,star_rating,availability,category
It's Only the Himalayas,4742.85,2,True,Travel
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,5190.15,4,True,Travel
See America: A Celebration of Our National Parks & Treasured Sites,5131.35,3,True,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,3878.7,2,True,Travel
Under the Tuscan Sun,3919.65,3,True,Travel
A Summer In Europe,4655.7,2,True,Travel
The Great Railway Bazaar,3206.7,1,True,Travel
A Year in Provence (Provence #1),5972.4,4,True,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),2437.05,1,True,Travel
Neither Here nor There: Travels in Europe,4089.75,3,True,Travel
"1,000 Places to See Before You Die",2738.4,5,True,Travel
Sharp Objects,5021.1,4,True,Mystery
"In a Dark, Dark Wood",2061.15,1,True,Mystery
The Past Never Ends,5932.5,4,True,Mystery
A Murder in Time,1747.2,1,True,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),4630.5,4,True,Mystery
The Last Mile (Amos Decker #2),5692.05,2,True,Mystery
That Darkness (Gardiner and Renner #1),1461.6,1,True,Mystery
Tastes Like Fear (DI Marnie Rome #3),1122.45,1,True,Mystery
A Time of Torment (Charlie Parker #14),5076.75,5,True,Mystery
A Study in Scarlet (Sherlock Holmes #1),1756.65,2,True,Mystery
Poisonous (Max Revere Novels #3),2814.0,3,True,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),5707.8,4,True,Mystery
Most Wanted,3704.4,3,True,Mystery
Hide Away (Eve Duncan #20),1243.2,1,True,Mystery
Boar Island (Anna Pigeon #19),6245.4,3,True,Mystery
The Widow,2862.3,2,True,Mystery
Playing with Fire,1439.55,3,True,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),2663.85,5,True,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5491.5,5,True,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),2193.45,4,True,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),2604.0,4,True,Mystery
In the Woods (Dublin Murder Squad #1),4029.9,2,True,Mystery
The Silkworm (Cormoran Strike #2),2420.25,5,True,Mystery
The Exiled,4562.25,3,True,Mystery
The Cuckoo's Calling (Cormoran Strike #1),2017.05,1,True,Mystery
Extreme Prey (Lucas Davenport #26),2667.0,3,True,Mystery
Career of Evil (Cormoran Strike #3),2595.6,2,True,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),6058.5,4,True,Mystery
The Girl You Lost,1290.45,5,True,Mystery
The Girl In The Ice (DCI Erika Foster #1),1664.25,3,True,Mystery
Blood Defense (Samantha Brinkman #1),2131.5,3,True,Mystery
1st to Die (Women's Murder Club #1),5667.9,1,True,Mystery
Tipping the Velvet,5642.7,1,True,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3117.45,3,True,Historical Fiction
A Flight of Arrows (The Pathfinders #2),5830.65,5,True,Historical Fiction
The House by the Lake,3879.75,1,True,Historical Fiction
Mrs. Houdini,3176.25,5,True,Historical Fiction
The Marriage of Opposites,2948.4,4,True,Historical Fiction
Glory over Everything: Beyond The Kitchen House,4813.2,3,True,Historical Fiction
"Love, Lies and Spies",2157.75,2,True,Historical Fiction
A Paris Apartment,4096.05,4,True,Historical Fiction
Lilac Girls,1814.4,2,True,Historical Fiction
The Constant Princess (The Tudor Court #1),1745.1,3,True,Historical Fiction
The Invention of Wings,3920.7,1,True,Historical Fiction
World Without End (The Pillars of the Earth #2),3461.85,4,True,Historical Fiction
The Passion of Dolssa,2973.6,5,True,Historical Fiction
Girl With a Pearl Earring,2810.85,1,True,Historical Fiction
Voyager (Outlander #3),2212.35,5,True,Historical Fiction
The Red Tent,3744.3,5,True,Historical Fiction
The Last Painting of Sara de Vos,5832.75,2,True,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,5200.65,1,True,Historical Fiction
Girl in the Blue Coat,4917.15,2,True,Historical Fiction
Between Shades of Gray,2182.95,5,True,Historical Fiction
While You Were Mine,4338.6,5,True,Historical Fiction
The Secret Healer,3628.8,3,True,Historical Fiction
Starlark,2712.15,3,True,Historical Fiction
Lost Among the Living,2908.5,4,True,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),1781.85,5,True,Historical Fiction
The Secret Garden,1583.4,4,True,Classics
The Metamorphosis,3000.9,1,True,Classics
The Pilgrim's Progress,5277.3,2,True,Classics
The Hound of the Baskervilles (Sherlock Holmes #5),1556.1,2,True,Classics
Little Women (Little Women #1),2947.35,4,True,Classics
Gone with the Wind,3411.45,3,True,Classics
Candide,6156.15,3,True,Classics
Animal Farm,6008.1,3,True,Classics
Wuthering Heights,1861.65,3,True,Classics
The Picture of Dorian Gray,3118.5,2,True,Classics
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),2811.9,4,True,Classics
Beowulf,4026.75,2,True,Classics
And Then There Were None,3676.05,2,True,Classics
The Story of Hong Gildong,4534.95,4,True,Classics
The Little Prince,4769.1,2,True,Classics
Sense and Sensibility,3933.3,1,True,Classics
Of Mice and Men,4946.55,2,True,Classics
Emma,3457.65,2,True,Classics
Alice in Wonderland (Alice's Adventures in Wonderland #1),5830.65,1,True,Classics
